"","id","p1","p1freq","p2","p2freq","p3","p3freq","p4","p4freq","p5","p5freq","p6","p6freq","p7","p7freq","p8","p8freq","p9","p9freq","p10","p10freq","p11","p11freq","p12","p12freq","p13","p13freq","p14","p14freq","p15","p15freq","p16","p16freq","p17","p17freq","p18","p18freq","p19","p19freq"
"11",11,"Pawilony","Kilka razy w miesiącu","Cuda na kiju","Kilka razy w roku","Solec 44","Kilka razy w roku","Salsa Libre","Kilka razy w roku","Fitness Club Calypso","Kilka razy w roku","Łazienki","Kilka razy w roku","Powiększenie","Kilka razy w roku","Sen Pszczoły","Kilka razy w roku","PKP Powiśle","Kilka razy w roku","nad Wisłą","Kilka razy w roku","Pijalnia wódki i piwa","Kilka razy w roku","Kinoteka","Kilka razy w roku","Kawiarnia Aroma","Kilka razy w miesiącu","","","","","","","","","","","",""
"12",12,"kafefajka","Kilka razy w roku","nad Wisłą","Kilka razy w roku","Pawilony","Kilka razy w roku","Powsin","Kilka razy w roku","Multimedialny Park Fontann","Kilka razy w roku","ścieżka rowerowa wzdłuż praskiej strony Wisły","Kilka razy w roku","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13",13,"Secret Life Cafe","Przynajmniej kilka razy w tygodniu","Kępa Potocka","Przynajmniej kilka razy w tygodniu","Klub Komediowy","Kilka razy w miesiącu","Kępa Potocka","Kilka razy w miesiącu","Pola Mokotowskie","Kilka razy w miesiącu","Las Bielański","Kilka razy w roku","Cud nad Wisłą (w sezonie letnim)","Kilka razy w miesiącu","Bar Studio","Kilka razy w miesiącu","Klub 55","Kilka razy w roku","Art Cafe","Kilka razy w miesiącu","Jazz Bistro","Kilka razy w miesiącu","Zachęta","Kilka razy w roku","Karma","Kilka razy w roku","Coffee Heaven","Kilka razy w miesiącu","Kino Muranów","Kilka razy w roku","Teatr Narodowy","Kilka razy w roku","Resort","Kilka razy w miesiącu","Po prostu","Kilka razy w miesiącu","Atmosfera Żoliborza","Kilka razy w roku"
"14",14,"bar prasowy","Kilka razy w miesiącu","solec 44 ","Kilka razy w roku","Grawitacja","Kilka razy w roku","park Morskie Oko","Kilka razy w miesiącu","Łazienki","Kilka razy w roku","","","Solec 44","Kilka razy w roku","Cafe Kulturalna","Kilka razy w roku","Plac Zabaw","Kilka razy w roku","Galeria Zachęta","Kilka razy w roku","Kino Muranów","Kilka razy w roku","Muzeum Sztuki Nowoczesnej","Kilka razy w roku","sala prób, gdzie mam próbyzespołu","Przynajmniej kilka razy w tygodniu","","","","","","","","","","","",""
"15",15,"pawilony","Kilka razy w roku","coffee heaven","Kilka razy w roku","","","fitness klub","Przynajmniej kilka razy w tygodniu","","","","","1500","Kilka razy w roku","basen","Kilka razy w roku","miasto cypel","Kilka razy w roku","","","","","","","","","","","","","","","","","","","",""
"16",16,"pawilony","Kilka razy w miesiącu","solec 44","Kilka razy w miesiącu","4pokoje","Kilka razy w miesiącu","park praski","Kilka razy w miesiącu","Dosir na Jagiellońskiej","Kilka razy w roku","okolice Wisły","Kilka razy w roku","Hydrozagadka","Kilka razy w roku","55","Kilka razy w roku","pawilony","Kilka razy w roku","","","","","","","","","","","","","","","","","","","",""
"17",17,"Francuska 30","Kilka razy w miesiącu","Kulturalna","Kilka razy w miesiącu","Grawitacja","Kilka razy w miesiącu","Brzeg Wisły","Kilka razy w miesiącu","Park Skaryszewski","Kilka razy w roku","Ogrody BUW","Kilka razy w miesiącu","Rock","Kilka razy w miesiącu","Plan B","Kilka razy w miesiącu","Basen","Kilka razy w miesiącu","Pawilony","Kilka razy w miesiącu","Fenomenalna","Kilka razy w miesiącu","Huśtawka","Kilka razy w roku","Mały Wojtek","Kilka razy w roku","Antykwariat","Kilka razy w roku","Powiększenie","Kilka razy w roku","Przejście","Kilka razy w roku","pkp powiśle","Kilka razy w roku","plac zabaw","Kilka razy w roku","BUW","Przynajmniej kilka razy w tygodniu"
"18",18,"Starbucks","Kilka razy w miesiącu","Po drugiej stronie lustra","Przynajmniej kilka razy w tygodniu","Barka","Kilka razy w miesiącu","Park Praski","Kilka razy w roku","Park Skaryszewski","Kilka razy w roku","","","Powiększenie","Kilka razy w roku","55","Kilka razy w roku","Glam","Kilka razy w roku","Plaża nad Wisłą","Kilka razy w roku","Starówka","Kilka razy w roku","","","","","","","","","","","","","","","",""
"19",19,"plac zbawiciela","Kilka razy w miesiącu","regeneracja","Kilka razy w miesiącu","","","pole mokotowskie","Przynajmniej kilka razy w tygodniu","las bielański","Kilka razy w roku","","","plac zbawiciela","Przynajmniej kilka razy w tygodniu","plac zabaw","Kilka razy w roku","","","","","","","","","","","","","","","","","","","","","",""
"20",20,"bulwary wiślane","Kilka razy w miesiącu","centrum","Kilka razy w miesiącu","Łazienki Królewskie","Kilka razy w roku","Łazienki Królewskie","Kilka razy w miesiącu","bulwary wiślane ","Kilka razy w miesiącu","","","centrum","Kilka razy w miesiącu","","","","","bulwary wiślane","Kilka razy w miesiącu","park łazienkowski","Kilka razy w miesiącu","znajomi","Kilka razy w miesiącu","","","","","","","","","","","","","",""
"21",21,"Plener nad wisłą","Przynajmniej kilka razy w tygodniu","F30","Kilka razy w miesiącu","","","Park nad balatonem","Kilka razy w miesiącu","Stadion na Obrońców Tobruku","Kilka razy w miesiącu","Plener nad wisłą","Przynajmniej kilka razy w tygodniu","Powiększenie","Kilka razy w roku","Pawilony","Kilka razy w roku","","","","","","","","","","","","","","","","","","","","","",""
"22",22,"Rock","Kilka razy w roku","Rembertów","Kilka razy w roku","Park Młociński","Kilka razy w roku","Park Młociński","Kilka razy w miesiącu","Lotnisko Bemowo","Kilka razy w miesiącu","Złote Tarasy","Kilka razy w miesiącu","Sogo","Kilka razy w roku","Progresja","Kilka razy w roku","Sen Pszczoły","Kilka razy w roku","","","","","","","","","","","","","","","","","","","",""
"23",23,"Kawiarnie typu Starbucs, Coffee Heaven itp. bez konkretnej lokalizacji","Kilka razy w roku","","","","","Pole Mokotowskie","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24",24,"Pawilony","Kilka razy w miesiącu","Cafe Zagadka","Kilka razy w miesiącu","Aioli","Kilka razy w miesiącu","Calypso","Przynajmniej kilka razy w tygodniu","","","","","Pawilony","Kilka razy w miesiącu","","","","","Pawilony","Kilka razy w miesiącu","Coffee Heaven","Kilka razy w miesiącu","Starbucks","Kilka razy w miesiącu","Cafe Zagadka","Kilka razy w miesiącu","","","","","","","","","","","",""
"25",25,"","","","","","","wilanow","Kilka razy w roku","","","","","chnielarnia pub","Kilka razy w roku","","","","","","","","","","","","","","","","","","","","","","","",""
"26",26,"Paradox Cafe","Raz w roku lub rzadziej","Klubogaleria przy pl. Wilsona","Kilka razy w roku","","","Gimnazjum nr. 16 przy ul. Skarżyńskiego 8","Przynajmniej kilka razy w tygodniu","Pole Mokotowskie","Kilka razy w roku","IKS Mokotów, Sekcja Szermiercza","Kilka razy w miesiącu","","","","","","","Warszawskie ZOO","Kilka razy w roku","Biblioteka UW","Kilka razy w roku","Biblioteka Narodowa","Raz w roku lub rzadziej","Multikino Arkadia","Kilka razy w roku","Kinoteka","Raz w roku lub rzadziej","","","","","","","","","",""
"27",27,"Kafefajka","Kilka razy w roku","Pawilony","Kilka razy w roku","Wisła","Kilka razy w miesiącu","","","","","","","Temat Rzeka","Kilka razy w miesiącu","Toro","Kilka razy w roku","55","Kilka razy w roku","","","","","","","","","","","","","","","","","","","",""
"28",28,"Plan B","Kilka razy w miesiącu","Mały Wojtek","Kilka razy w miesiącu","Pawilony","Kilka razy w miesiącu","Łazienki","Kilka razy w miesiącu","Pole Mokotowskie","Kilka razy w miesiącu","Agrykola","Kilka razy w miesiącu","Cud nad Wisłą","Kilka razy w miesiącu","Nowa Jerozolima","Kilka razy w miesiącu","Klub 55","Kilka razy w miesiącu","Bułkę przez BIbułkę","Kilka razy w miesiącu","Nie zawsze musi być chaor","Kilka razy w miesiącu","Warszawa Powiśle","Kilka razy w miesiącu","1500 m2","Kilka razy w miesiącu","Plac Zabaw","Kilka razy w miesiącu","Temat Rzeka","Kilka razy w miesiącu","Koszyki","Kilka razy w miesiącu","Barka","Kilka razy w miesiącu","Resort","Kilka razy w miesiącu","Meta na Żurawiej","Kilka razy w miesiącu"
"29",29,"Krakowskie Przedmieście i Nowy Świat","Przynajmniej kilka razy w tygodniu","kawiarnia ""Szpilka: przy pl. Trzech Krzyży","Kilka razy w roku","Sushi Akashia w al. Jana Pawła","Raz w roku lub rzadziej","Ogród Krasińskich","Przynajmniej kilka razy w tygodniu","Bulwary nadwiślańskie","Kilka razy w miesiącu","Park Fontann na Podwalu","Kilka razy w roku","""Pawilony""","Kilka razy w miesiącu","""państwomiasto""","Kilka razy w miesiącu","klub ""Proxima""","Raz w roku lub rzadziej","BUW","Kilka razy w miesiącu","Kino w CH Arkadia/ Promenada","Kilka razy w roku","Stadion Narodowy","Kilka razy w roku","CNK","Raz w roku lub rzadziej","","","","","","","","","","","",""
"30",30,"Tutu","Kilka razy w roku","Paradox Cafe","Kilka razy w miesiącu","","","Pola Mokotowskie","Kilka razy w miesiącu","Las Kabacki","Kilka razy w miesiącu","","","","","","","","","CSW","Kilka razy w roku","Dog Campus","Kilka razy w miesiącu","","","","","","","","","","","","","","","",""
"31",31,"Antykwariat","Kilka razy w roku","Almi Decor restauracja","Kilka razy w roku","Siux","Kilka razy w roku","","","","","","","","","","","","","Cinema City","Kilka razy w miesiącu","Mc Donalds","Kilka razy w miesiącu","","","","","","","","","","","","","","","",""
"32",32,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33",33,"Chmielarnia","Kilka razy w roku","Temat Rzeka","Kilka razy w roku","","","Bloco","Przynajmniej kilka razy w tygodniu","","","","","Pawilony","Kilka razy w roku","Norka","Kilka razy w roku","","","U znajomych","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","",""
"34",34,"Mr. Pancake","Kilka razy w miesiącu","Temat rzeka","Przynajmniej kilka razy w tygodniu","Coffe Heaven","Kilka razy w miesiącu","Lasy","Przynajmniej kilka razy w tygodniu","Plaża nad wisłą","Przynajmniej kilka razy w tygodniu","Stadion narodowy (rolki :))","Kilka razy w miesiącu","Opera","Kilka razy w miesiącu","temat rzeka","Kilka razy w miesiącu","55","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","","","",""
"35",35,"Rock","Kilka razy w roku","kulturalna","Kilka razy w miesiącu","Plan B","Kilka razy w roku","Pałac wilanowski","Kilka razy w roku","","","","","55","Kilka razy w roku","Mieszkania znajomych","Kilka razy w miesiącu","Pola mokotowskie","Kilka razy w roku","rock","Kilka razy w miesiącu","zacheta","Kilka razy w roku","leica gallery","Kilka razy w roku","luna","Kilka razy w roku","kino muranów","Kilka razy w roku","MSN","Kilka razy w roku","Powiększenie","Kilka razy w roku","","","","","",""
"36",36,"Coffee heaven (głównie na Nowym Świecie) i Costa Coffee na Krakowskim Przedmieściu","Kilka razy w miesiącu","Buddha bar","Kilka razy w roku","Złote tarasy","Kilka razy w roku","Trakt Królewski","Przynajmniej kilka razy w tygodniu","Powiśle","Przynajmniej kilka razy w tygodniu","Stare Miasto","Przynajmniej kilka razy w tygodniu","Club Rock","Kilka razy w roku","","","","","Multikino Targówek","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","",""
"37",37,"Pozytywka","Kilka razy w roku","Coffeina","Kilka razy w roku","Państwo Miasto","Kilka razy w roku","Pole Mokotowskie","Kilka razy w miesiącu","Szczęśliwice","Kilka razy w roku","Ogród Saski","Kilka razy w miesiącu","Medyk","Kilka razy w roku","Mono Bar","Kilka razy w roku","Zoo","Kilka razy w roku","Park szczęśliwicki","Kilka razy w miesiącu","subway","Kilka razy w miesiącu","mcdonald","Kilka razy w roku","kfc","Kilka razy w roku","kino atlantic","Kilka razy w roku","kebab ","Kilka razy w roku","bobby burger","Kilka razy w miesiącu","basen polna","Kilka razy w miesiącu","siłownia calypso","Kilka razy w miesiącu","basen włochy","Kilka razy w roku"
"38",38,"Nowy Swiat ","Kilka razy w miesiącu","Wilcza","Kilka razy w miesiącu","Zabkowska","Kilka razy w miesiącu","Warszawianka","Kilka razy w miesiącu","Baseny Inflancka","Kilka razy w miesiącu","Holmes Place Grzybowska","Kilka razy w roku","Znajomi Znajomych","Kilka razy w miesiącu","Toro","Kilka razy w roku","Leniviec ","Kilka razy w roku","Las Bielanski","Kilka razy w roku","Las Kabacki ","Kilka razy w roku","Powsin","Kilka razy w roku","Pola Mokotowskie","Kilka razy w roku","Rynek Starego Miasta","Kilka razy w roku","Praga","Kilka razy w roku","Brzeg Wisly ","Kilka razy w roku","Powisle","Kilka razy w roku","Park Szczesliwicki","Kilka razy w roku","Wilanow","Kilka razy w roku"
"39",39,"Plaża nad Wisłą","Kilka razy w miesiącu","U Szwejka","Kilka razy w miesiącu","Cuda na Kiju","Kilka razy w roku","Ścieżka nad Wisłą","Kilka razy w miesiącu","Pole Mokotowskie","Kilka razy w roku","Stare Miasto","Kilka razy w miesiącu","Bar Norka","Kilka razy w miesiącu","Klub 55","Kilka razy w roku","Lokale nad Wisłą","Kilka razy w roku","","","","","","","","","","","","","","","","","","","",""
"40",40,"Państwa Miasta","Kilka razy w roku","Lorentz","Kilka razy w roku","Między nami","Kilka razy w roku","basen Nowa Fala","Kilka razy w roku","park Moczydło","Przynajmniej kilka razy w tygodniu","Lasek na Kole","Kilka razy w miesiącu","Syreni Śpiew","Kilka razy w roku","55","Kilka razy w roku","Pawilony","Kilka razy w miesiącu","Sushi Wola","Kilka razy w miesiącu","Wola Park - kawiarnia Coffeeshop Company","Kilka razy w roku","Pij Herbatę","Kilka razy w roku","Państwowe Ogródki Działkowo Radiowo","Kilka razy w roku","Coco de Oro","Kilka razy w roku","Południk Zero","Kilka razy w roku","Łazienki","Kilka razy w roku","Plan B","Kilka razy w roku","Prasowy","Kilka razy w roku","BUW","Kilka razy w roku"
"41",41,"bary nad wisla","Kilka razy w miesiącu","pawilony","Kilka razy w miesiącu","okolice placu zbawiciela","Kilka razy w miesiącu","","","","","","","eufemia","Kilka razy w roku","powiekszenie (kiedys)","Kilka razy w roku","2kola","Kilka razy w roku","burgery na olkuskiej","Kilka razy w roku","parki na zoliborzu, gwiazdzista","Kilka razy w roku","bary przy wilczej i poznanskiej","Kilka razy w roku","","","","","","","","","","","","","",""
"42",42,"schody nad wisłą","Kilka razy w miesiącu","starbucks","Kilka razy w roku","prywatne mieszkania","Kilka razy w miesiącu","","","","","","","delite","Kilka razy w roku","barka","Kilka razy w miesiącu","temat rzeka","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","","","",""
"43",43,"Wola Park","Kilka razy w miesiącu","ToZo","Kilka razy w miesiącu","Stare Miasto","Kilka razy w roku","Park Moczydło","Przynajmniej kilka razy w tygodniu","Lasek na Kole","Kilka razy w roku","Park Szymanowskiego","Kilka razy w miesiącu","Pawilony","Kilka razy w roku","","","","","","","","","","","","","","","","","","","","","","","",""
"44",44,"pochwała niekonsewkencji","Kilka razy w roku","znajomi znajomych","Kilka razy w roku","pub lolek","Kilka razy w roku","pole mokotowskie","Kilka razy w miesiącu","Champions Fitness","Kilka razy w miesiącu","","","pawilony","Kilka razy w roku","proxima","Kilka razy w roku","hybrudy","Raz w roku lub rzadziej","arkadia","Kilka razy w miesiącu","krakowskie przedmieście","Kilka razy w roku","","","","","","","","","","","","","","","",""
"45",45,"plan b","Kilka razy w miesiącu","grawitacja","Kilka razy w miesiącu","","Kilka razy w roku","park saski","Przynajmniej kilka razy w tygodniu","","","","","plan b","Kilka razy w miesiącu","cud nad wisłą","","","","","","","","","","","","","","","","","","","","","","",""
"46",46,"Bulwary wiślane","Przynajmniej kilka razy w tygodniu","krakowskie przedmieście","Kilka razy w miesiącu","park dreszera","Kilka razy w miesiącu","warszawianka","Kilka razy w miesiącu","skra warszawa","Kilka razy w miesiącu","Orliki mokotów/ursynów","Przynajmniej kilka razy w tygodniu","Temat Rzeka","Kilka razy w miesiącu","Regeneracja","Kilka razy w miesiącu","Pasja smaku u rzeźnika","Kilka razy w roku","Ulica Marszałkowska","Przynajmniej kilka razy w tygodniu","Okolice Starego Mokotowa","Przynajmniej kilka razy w tygodniu","Skarpa Wiślana na całej długości","Kilka razy w miesiącu","Pole Mokotowskie","Kilka razy w miesiącu","","","","","","","","","","","",""
"47",47,"Pawilony","Kilka razy w roku","Pizza Hut","Kilka razy w roku","Trattoria Rucola","Kilka razy w roku","Plaża nad Wisłą","Kilka razy w roku","","","","","Pawilony","Kilka razy w roku","","","","","Krowarzywa","Kilka razy w roku","U Szwejka","Kilka razy w roku","Bar kawowy","Kilka razy w roku","","","","","","","","","","","","","",""
"48",48,"Relaks Kawiarnia","Przynajmniej kilka razy w tygodniu","Regeneracja","Kilka razy w miesiącu","Ministerstwo Kawy","Kilka razy w miesiącu","Skwer Broniewskiego","Przynajmniej kilka razy w tygodniu","Park Morskie Oko","Kilka razy w miesiącu","Pole Mokotowskie","Kilka razy w miesiącu","Cafe Kulturalna","Kilka razy w miesiącu","Latawiec","Kilka razy w miesiącu","Glam Club","Kilka razy w roku","Bar Studio","Kilka razy w roku","MiTo","Kilka razy w roku","Que Huong","Kilka razy w miesiącu","Besuto Sushi","Kilka razy w miesiącu","Warburger","Kilka razy w miesiącu","Calypso Fitness Europlex","Przynajmniej kilka razy w tygodniu","Złote Tarasy","Kilka razy w miesiącu","Teatr Roma","Kilka razy w roku","","","",""
"49",49,"czuły barbarzyńca","Kilka razy w roku","pardon to tu","Kilka razy w roku","plaża nad Wisłą","Kilka razy w miesiącu","pole mokotowskie","Kilka razy w miesiącu","łazienki królewskie","Kilka razy w miesiącu","ogród saski","Kilka razy w roku","Kufle i Kapsle","Kilka razy w miesiącu","Sen Pszczoły","Kilka razy w roku","1500 m2","Kilka razy w roku","Kafka na Oboźnej","Kilka razy w miesiącu","ogródek wydziału psychologii ;)","Przynajmniej kilka razy w tygodniu","","","","","","","","","","","","","","","",""
"50",50,"Galeria wypieków","Kilka razy w miesiącu","Tatami sushi","Kilka razy w miesiącu","Grawitacja","Kilka razy w roku","Park Saski","Kilka razy w miesiącu","Autonomia (skwer za UW)","Kilka razy w miesiącu","Plaża nad Wisłą","Kilka razy w miesiącu","Resort","Kilka razy w roku","Grawitacja","Kilka razy w roku","Rama","Raz w roku lub rzadziej","Arkadia","Kilka razy w miesiącu","Ikea Janki","Kilka razy w miesiącu","Kino Atlantic","Kilka razy w roku","Galeria Mokotów","Kilka razy w roku","Złote Tarasy","Kilka razy w roku","","","","","","","","","",""
"51",51,"Szynk Praski","Kilka razy w miesiącu","Plaża po prawej stronie Wisły","Kilka razy w roku","Muzeum Żydów","Kilka razy w miesiącu","Plaża nad Wisłą","Kilka razy w roku","Lasek Bródnowski","Kilka razy w roku","Klub fitness","Przynajmniej kilka razy w tygodniu","","","","","","","Muranów","Kilka razy w miesiącu","Starówka","Kilka razy w roku","Centrum","Kilka razy w miesiącu","Nowe Bemowo","Kilka razy w miesiącu","Pl. Bankowy","Kilka razy w roku","Pl. Teatralny","Kilka razy w roku","Dw. Wileński","Kilka razy w roku","Ząbkowska","Kilka razy w miesiącu","Stalowa","Kilka razy w roku","Stare Bemowo","Kilka razy w roku"
"52",52,"Coffie Heaven","Kilka razy w miesiącu","Dziurka od klucza","Kilka razy w roku","Sfinx","Kilka razy w miesiącu","Łazienki Królewskie","Kilka razy w miesiącu","Pole Mokotowskie","Kilka razy w roku","Ogród Saski","Kilka razy w roku","Znajomi Znajomych","Kilka razy w miesiącu","","","","","BUW","Kilka razy w roku","moje mieszkanie","Przynajmniej kilka razy w tygodniu","mieszkania moich znajomych","Przynajmniej kilka razy w tygodniu","","","","","","","","","","","","","",""
"53",53,"Fawory - kawiarnia","Kilka razy w roku","Relaks - kawiarnia","Kilka razy w roku","Bilbioteka Uniwersytetu Warszawskiego i jej okolice","Kilka razy w roku","Park Kępa Potocka","Kilka razy w miesiącu","Las Bielański","Kilka razy w roku","Pole Mokotowskie","Kilka razy w miesiącu","Warszawa Powiśle","Kilka razy w roku","Znajomi Znajomych","Kilka razy w roku","Centralny Basen Artystyczny","Kilka razy w roku","Biblioteka Narodowa","Kilka razy w roku","Wrzenie Świata","Kilka razy w roku","Faktyczny Dom Kultury","Kilka razy w roku","O Obrotach ciał niebieskich - kawiarnia","Kilka razy w roku","Czuły Barbarzyńca - kawiarnia","","Arkadia - centrum handlowe","Kilka razy w miesiącu","","","","","","","",""
"54",54,"peron","Kilka razy w miesiącu","","","","","siłownia","Przynajmniej kilka razy w tygodniu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55",55,"starówka","Kilka razy w roku","","","","","powiśle","Raz w roku lub rzadziej","","","","","mazowiecka","Kilka razy w roku","","","","","","","","","","","","","","","","","","","","","","","",""
"56",56,"mieszkanie czyjeś","Kilka razy w miesiącu","pawilony","Kilka razy w miesiącu","plac zbawiciela","Kilka razy w roku","parki ","Przynajmniej kilka razy w tygodniu","starówka","Kilka razy w miesiącu","wisła","Kilka razy w miesiącu","pijalnie wódki","Kilka razy w miesiącu","mazowiecka","Kilka razy w roku","..","","park saski","Kilka razy w miesiącu","bulwary","Kilka razy w miesiącu","pole mokotowskie","Kilka razy w miesiącu","","","","","","","","","","","","","",""
"57",57,"pub","Przynajmniej kilka razy w tygodniu","park","Przynajmniej kilka razy w tygodniu","mieszkanie","Przynajmniej kilka razy w tygodniu","park","Przynajmniej kilka razy w tygodniu","mieszkanie","Przynajmniej kilka razy w tygodniu","","","la playa","Kilka razy w roku","puby","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","","","","","",""
"58",58,"Pawilony","Kilka razy w roku","Plan B","Kilka razy w roku","Prochownia Żoliborz ","Kilka razy w miesiącu","Kępa Potocka","Przynajmniej kilka razy w tygodniu","Studio jogi","Kilka razy w miesiącu","","","Powiększenie","Kilka razy w roku","Plan B","Kilka razy w roku","","","","","","","","","","","","","","","","","","","","","",""
"59",59,"most poniatowskiego ","Kilka razy w roku","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60",60,"Bar zapiekanki","Kilka razy w miesiącu","Kojot Bar","Kilka razy w miesiącu","","","Park Bródmowski","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61",61,"osiedle","Przynajmniej kilka razy w tygodniu","boisko","Przynajmniej kilka razy w tygodniu","","","boisko trawiaste","Przynajmniej kilka razy w tygodniu","ping pong","Kilka razy w roku","fitness","Przynajmniej kilka razy w tygodniu","płaza nad wisla","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","","","","","","","",""
